0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:01:44 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:02:09 +0700] "GET /test/register-infor-student.jsp HTTP/1.1" 200 12840
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:02:11 +0700] "GET /test/index.jsp HTTP/1.1" 200 9306
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:02:17 +0700] "GET /test/searchSV?masv=21IT010 HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:02:40 +0700] "GET /test/register-infor-student.jsp HTTP/1.1" 200 12840
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:03:10 +0700] "GET /test/register-infor-student.jsp HTTP/1.1" 200 12840
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:04:16 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:04:18 +0700] "GET /test/showRegister?masv=21it0120 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:04:20 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:04:20 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:05:02 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:05:04 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11705
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:05:04 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:05:23 +0700] "GET /test/register-infor-student.jsp HTTP/1.1" 200 11313
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:05:56 +0700] "GET /test/register-infor-student.jsp HTTP/1.1" 200 11313
